encore8	노인과 바다	1.0
encore8	안네의 일기	1.0
encore8	우리들의 행복한 시간	2.0
encore8	향수	3.0
encore8	해리 포터와 죽음의 성물	5.0
encore8	해리 포터와 불사조 기사단	5.0
encore8	해리 포터와 불의 잔	5.0
encore8	해리 포터와 아즈카반의 죄수	5.0
encore8	가시고기	3.0
encore8	어린 왕자	1.0
encore8	엄마를 부탁해	4.0
encore8	해리 포터와 혼혈왕자	5.0
encore8	해리 포터와 비밀의 방	5.0
encore8	해리 포터와 마법사의 돌	5.0
encore8	마시멜로 두 번째 이야기	1.5
encore8	종의 기원	5.0
encore8	죽고 싶지만 떡볶이는 먹고 싶어	5.0
encore8	나의 라임 오렌지 나무	3.0
encore9	무소유	2.5
encore9	그건, 사랑이었네	4.5
encore9	봉순이 언니	4.0
encore9	한비야의 중국견문록	4.5
encore9	지도 밖으로 행군하라	4.5
encore9	난장이가 쏘아올린 작은 공	4.0
encore9	성공하는 사람들의 7가지 습관	4.5
encore9	오체 불만족	3.0
encore9	캣칭 파이어	4.0
encore9	미 비포 유	3.5
encore9	운수 좋은 날 「현진건」	3.0
encore9	참을 수 없는 존재의 가벼움	3.0
encore9	우리들의 일그러진 영웅	3.0
encore9	향수	3.0
encore9	가시고기	3.0
encore9	메이즈 러너	5.0
encore9	날개	4.0
encore9	몽실 언니	3.0
encore9	마음의 소리	3.5
encore9	낢이 사는 이야기	3.5
encore9	조명가게	4.0
encore9	외모지상주의 1	2.5
encore9	아파트	3.5
encore9	진격의 거인	4.5
encore9	이웃 사람	4.0
encore9	나루토 Naruto	4.0
encore9	완득이	3.0
encore9	사랑손님과 어머니	3.0
encore9	드래곤 볼	4.0
encore9	구운몽	3.5
encore9	헝거 게임	5.0
encore9	강철의 연금술사	3.0
encore9	데스 노트 Death Note	4.5
encore9	원미동 사람들	3.5
encore9	어린 왕자	3.0
encore9	신과 함께 : 신화편	5.0
encore9	완득이	3.5
encore9	빅 픽처	5.0
encore9	신과 함께 : 이승편	5.0
encore9	눈먼 자들의 도시	4.5
encore9	죽음에 관하여	5.0
encore9	슬램덩크	5.0
encore9	우리들의 행복한 시간	4.0
encore9	신과 함께 : 저승편	5.0
encore9	아프니까 청춘이다	4.5
encore9	어린 왕자	3.0
encore9	나무	2.5
encore9	어린 왕자	3.0
encore9	나의 라임 오렌지나무	3.0
encore9	위대한 개츠비	3.5
encore9	봄.봄 「김유정」	3.0
encore9	해리 포터와 죽음의 성물	3.0
encore9	명탐정 코난	4.0
encore9	원피스 ONE PIECE	4.0
encore10	조선왕조실톡	5.0
encore10	반지의 제왕	3.5
encore10	로마인 이야기 	1.0
encore10	어린 왕자	4.0
encore10	20대, 공부에 미쳐라	3.0
encore10	파브르 곤충기	2.5
encore10	이상한 나라의 앨리스	4.0
encore10	메밀꽃 필 무렵	3.0
encore10	무소유	5.0
encore10	남과 여 1	5.0
encore10	죄와 벌	4.0
encore10	진격의 거인	5.0
encore10	운수좋은 날	4.0
encore10	후레자식	3.5
encore10	나니아 연대기	2.0
encore10	마지막 잎새	4.5
encore10	베니스의 상인	3.0
encore10	수학귀신	4.0
encore10	찰리와 초콜릿 공장 	5.0
encore10	드래곤 볼	5.0
encore10	죽은 시인의 사회	5.0
encore10	지도 밖으로 행군하라	1.0
encore10	헝거 게임	4.5
encore10	어린 왕자	4.0
encore10	데스 노트 Death Note	4.5
encore10	지적 대화를 위한 넓고 얕은 지식 : 현실 세계 편	5.0
encore10	선천적 얼간이들	5.0
encore10	마시멜로 두 번째 이야기	2.0
